id,studentId,branchId,staffId,amount,method,bienLaiId,bienLaiPhoto,createdAt
PMT-00049,hv-042,br-1,u-1,282500,Chuyển khoản,BL-2025-003-00049,true,24/03/2025 11:29:40
PMT-00050,hv-043,br-1,u-2,565000,Chuyển khoản,BL-2025-002-00050,true,22/02/2025 13:05:44
PMT-00051,hv-044,br-1,u-1,365000,Tiền mặt,BL-2025-003-00051,true,14/03/2025 10:49:08
PMT-00052,hv-045,br-1,u-1,997500,Chuyển khoản,BL-2025-002-00052,true,25/02/2025 14:32:26
PMT-00053,hv-045,br-1,u-1,997500,Tiền mặt,BL-2025-003-00053,false,16/03/2025 14:25:44
PMT-00054,hv-046,br-1,u-1,565000,Tiền mặt,BL-2025-002-00054,true,19/02/2025 16:02:31
PMT-00055,hv-047,br-1,u-1,565000,Chuyển khoản,BL-2025-002-00055,true,12/02/2025 13:20:22
PMT-00056,hv-048,br-1,u-2,1995000,Tiền mặt,BL-2025-003-00056,true,16/03/2025 12:08:57
PMT-00057,hv-049,br-1,u-1,1995000,Chuyển khoản,BL-2025-002-00057,true,28/02/2025 17:02:05
PMT-00058,hv-050,br-1,u-1,365000,Tiền mặt,BL-2025-002-00058,true,28/02/2025 16:26:14
PMT-00059,hv-051,br-1,u-1,1995000,Tiền mặt,BL-2025-003-00059,true,17/03/2025 18:03:03
PMT-00060,hv-052,br-1,u-2,1895000,Tiền mặt,BL-2025-002-00060,true,22/02/2025 10:32:50
PMT-00061,hv-053,br-1,u-2,1995000,Tiền mặt,BL-2025-004-00061,true,05/04/2025 15:20:48
PMT-00062,hv-054,br-1,u-1,1995000,Tiền mặt,BL-2025-002-00062,false,23/02/2025 08:52:47
PMT-00063,hv-055,br-1,u-2,565000,Chuyển khoản,BL-2025-003-00063,true,16/03/2025 11:02:20
PMT-00064,hv-056,br-1,u-2,1895000,Tiền mặt,BL-2025-003-00064,true,02/03/2025 10:12:08
PMT-00065,hv-057,br-1,u-1,365000,Tiền mặt,BL-2025-002-00065,true,23/02/2025 13:09:37
PMT-00066,hv-058,br-1,u-1,565000,Tiền mặt,BL-2025-003-00066,true,14/03/2025 16:56:11
PMT-00067,hv-059,br-1,u-2,1995000,Tiền mặt,BL-2025-002-00067,true,13/02/2025 10:09:21
PMT-00068,hv-060,br-1,u-1,1995000,Chuyển khoản,BL-2025-003-00068,true,04/03/2025 10:23:31
PMT-00069,hv-061,br-1,u-2,365000,Chuyển khoản,BL-2025-003-00069,true,12/03/2025 17:58:32
PMT-00070,hv-062,br-1,u-2,565000,Chuyển khoản,BL-2025-003-00070,true,07/03/2025 16:50:07
PMT-00071,hv-063,br-1,u-1,565000,Tiền mặt,BL-2025-003-00071,true,11/03/2025 15:29:12
PMT-00072,hv-064,br-1,u-2,565000,Chuyển khoản,BL-2025-003-00072,true,11/03/2025 10:22:21
PMT-00073,hv-065,br-1,u-2,565000,Tiền mặt,BL-2025-002-00073,true,27/02/2025 15:31:24
PMT-00074,hv-066,br-1,u-1,565000,Tiền mặt,BL-2025-002-00074,true,22/02/2025 13:57:37
PMT-00075,hv-067,br-1,u-1,565000,Chuyển khoản,BL-2025-002-00075,true,23/02/2025 16:25:27
PMT-00076,hv-068,br-1,u-2,565000,Chuyển khoản,BL-2025-003-00076,true,06/03/2025 15:12:25
PMT-00077,hv-069,br-1,u-1,565000,Tiền mặt,BL-2025-003-00077,false,01/03/2025 13:14:33
PMT-00078,hv-070,br-1,u-1,415000,Chuyển khoản,BL-2025-003-00078,true,06/03/2025 17:45:45
PMT-00079,hv-071,br-1,u-2,1995000,Tiền mặt,BL-2025-003-00079,true,08/03/2025 13:33:04
PMT-00080,hv-072,br-1,u-2,565000,Tiền mặt,BL-2025-003-00080,false,10/03/2025 17:41:33
PMT-00081,hv-073,br-1,u-2,565000,Tiền mặt,BL-2025-003-00081,true,07/03/2025 09:20:49
PMT-00082,hv-074,br-1,u-1,565000,Tiền mặt,BL-2025-002-00082,true,03/02/2025 13:55:40
PMT-00083,hv-075,br-1,u-2,415000,Chuyển khoản,BL-2025-002-00083,true,04/02/2025 11:07:00
PMT-00084,hv-076,br-1,u-2,1695000,Chuyển khoản,BL-2025-001-00084,true,31/01/2025 09:31:24
PMT-00085,hv-077,br-1,u-1,415000,Chuyển khoản,BL-2025-002-00085,true,14/02/2025 10:07:31
PMT-00086,hv-078,br-1,u-2,1995000,Tiền mặt,BL-2025-003-00086,true,13/03/2025 10:32:06
PMT-00087,hv-079,br-1,u-2,565000,Chuyển khoản,BL-2025-003-00087,true,24/03/2025 17:12:25
PMT-00088,hv-080,br-1,u-2,997500,Tiền mặt,BL-2025-002-00088,true,26/02/2025 12:59:21
PMT-00089,hv-080,br-1,u-2,997500,Tiền mặt,BL-2025-003-00089,true,13/03/2025 12:55:32
PMT-00090,hv-081,br-1,u-2,365000,Tiền mặt,BL-2025-001-00090,true,29/01/2025 08:18:49
PMT-00091,hv-082,br-1,u-2,565000,Tiền mặt,BL-2025-003-00091,true,10/03/2025 13:01:03
PMT-00092,hv-083,br-1,u-2,1995000,Chuyển khoản,BL-2025-001-00092,true,29/01/2025 14:31:39
PMT-00093,hv-084,br-1,u-2,415000,Tiền mặt,BL-2025-002-00093,true,12/02/2025 13:47:47
PMT-00094,hv-085,br-2,u-4,565000,Tiền mặt,BL-2025-002-00094,true,20/02/2025 12:42:01
PMT-00095,hv-086,br-2,u-4,565000,Tiền mặt,BL-2025-002-00095,true,25/02/2025 13:57:09
PMT-00096,hv-087,br-2,u-4,922500,Tiền mặt,BL-2025-003-00096,true,01/03/2025 15:13:35
PMT-00097,hv-088,br-2,u-3,565000,Tiền mặt,BL-2025-002-00097,true,09/02/2025 17:24:13
PMT-00098,hv-089,br-2,u-3,997500,Tiền mặt,BL-2025-002-00098,false,17/02/2025 16:57:04
PMT-00099,hv-089,br-2,u-3,997500,Tiền mặt,BL-2025-002-00099,true,24/02/2025 16:51:59
PMT-00100,hv-090,br-2,u-3,1995000,Tiền mặt,BL-2025-002-00100,true,26/02/2025 16:01:42
PMT-00101,hv-091,br-2,u-4,565000,Chuyển khoản,BL-2025-002-00101,true,14/02/2025 11:09:48
PMT-00102,hv-092,br-2,u-4,565000,Tiền mặt,BL-2025-002-00102,true,15/02/2025 17:21:13
PMT-00103,hv-093,br-2,u-4,997500,Tiền mặt,BL-2025-003-00103,true,21/03/2025 13:38:06
PMT-00104,hv-093,br-2,u-4,997500,Tiền mặt,BL-2025-004-00104,true,20/04/2025 13:30:23
PMT-00105,hv-094,br-2,u-3,565000,Tiền mặt,BL-2025-003-00105,true,03/03/2025 13:37:17
PMT-00106,hv-095,br-2,u-3,565000,Tiền mặt,BL-2025-003-00106,true,03/03/2025 17:18:24
PMT-00107,hv-096,br-2,u-3,182500,Tiền mặt,BL-2025-003-00107,true,08/03/2025 09:33:03
PMT-00108,hv-097,br-2,u-4,565000,Tiền mặt,BL-2025-003-00108,true,12/03/2025 10:19:03
PMT-00109,hv-098,br-2,u-3,365000,Tiền mặt,BL-2025-004-00109,true,10/04/2025 13:41:21
PMT-00110,hv-099,br-2,u-4,1795000,Chuyển khoản,BL-2025-002-00110,false,25/02/2025 16:45:01
PMT-00111,hv-100,br-2,u-4,415000,Tiền mặt,BL-2025-003-00111,true,13/03/2025 12:42:00
PMT-00112,hv-101,br-2,u-3,415000,Chuyển khoản,BL-2025-003-00112,true,05/03/2025 16:35:00
PMT-00113,hv-102,br-2,u-3,565000,Chuyển khoản,BL-2025-003-00113,true,16/03/2025 13:36:26
PMT-00114,hv-103,br-2,u-4,1995000,Tiền mặt,BL-2025-003-00114,true,07/03/2025 12:34:38
PMT-00115,hv-104,br-2,u-3,1695000,Tiền mặt,BL-2025-003-00115,false,08/03/2025 13:34:06
PMT-00116,hv-105,br-2,u-4,565000,Tiền mặt,BL-2025-003-00116,false,05/03/2025 13:59:55
PMT-00117,hv-106,br-2,u-3,565000,Chuyển khoản,BL-2025-002-00117,true,21/02/2025 12:48:23
PMT-00118,hv-107,br-2,u-4,1995000,Tiền mặt,BL-2025-002-00118,false,15/02/2025 12:26:45
PMT-00119,hv-108,br-2,u-4,1995000,Chuyển khoản,BL-2025-003-00119,true,19/03/2025 14:39:50
PMT-00120,hv-109,br-2,u-3,565000,Chuyển khoản,BL-2025-003-00120,true,13/03/2025 14:27:54
PMT-00121,hv-110,br-2,u-3,565000,Tiền mặt,BL-2025-003-00121,true,01/03/2025 14:54:47
PMT-00122,hv-111,br-2,u-4,565000,Chuyển khoản,BL-2025-002-00122,true,20/02/2025 11:03:01
PMT-00123,hv-112,br-2,u-4,565000,Chuyển khoản,BL-2025-002-00123,true,18/02/2025 09:01:51
PMT-00124,hv-113,br-2,u-3,565000,Tiền mặt,BL-2025-003-00124,true,07/03/2025 12:11:49
PMT-00125,hv-114,br-2,u-4,565000,Tiền mặt,BL-2025-002-00125,true,19/02/2025 14:27:03
PMT-00126,hv-115,br-3,u-5,565000,Tiền mặt,BL-2025-003-00126,true,02/03/2025 15:15:58
PMT-00127,hv-116,br-3,u-6,365000,Tiền mặt,BL-2025-002-00127,true,09/02/2025 08:47:26
PMT-00128,hv-117,br-3,u-6,565000,Tiền mặt,BL-2025-002-00128,true,16/02/2025 15:54:40
PMT-00129,hv-118,br-3,u-6,282500,Tiền mặt,BL-2025-002-00129,true,15/02/2025 14:06:15
PMT-00130,hv-118,br-3,u-6,282500,Tiền mặt,BL-2025-003-00130,true,04/03/2025 14:01:10
PMT-00131,hv-119,br-3,u-5,182500,Tiền mặt,BL-2025-002-00131,true,25/02/2025 10:17:33
PMT-00132,hv-120,br-3,u-5,1845000,Chuyển khoản,BL-2025-002-00132,true,04/02/2025 10:37:54
PMT-00133,hv-121,br-3,u-6,565000,Chuyển khoản,BL-2025-003-00133,true,02/03/2025 13:48:33
PMT-00134,hv-122,br-3,u-6,565000,Chuyển khoản,BL-2025-003-00134,true,17/03/2025 14:00:10
PMT-00135,hv-123,br-3,u-6,415000,Tiền mặt,BL-2025-002-00135,true,23/02/2025 16:36:26
PMT-00136,hv-124,br-3,u-5,282500,Tiền mặt,BL-2025-002-00136,true,23/02/2025 10:03:57
PMT-00137,hv-124,br-3,u-5,282500,Chuyển khoản,BL-2025-003-00137,true,22/03/2025 10:02:22
PMT-00138,hv-125,br-3,u-6,1995000,Tiền mặt,BL-2025-003-00138,true,01/03/2025 17:32:10
PMT-00139,hv-127,br-3,u-5,565000,Chuyển khoản,BL-2025-003-00139,true,04/03/2025 13:27:15
PMT-00140,hv-128,br-3,u-6,415000,Tiền mặt,BL-2025-003-00140,true,06/03/2025 12:55:35
PMT-00141,hv-130,br-3,u-6,947500,Chuyển khoản,BL-2025-002-00141,true,21/02/2025 12:39:12
PMT-00142,hv-130,br-3,u-6,947500,Tiền mặt,BL-2025-003-00142,true,16/03/2025 12:37:25
PMT-00143,hv-131,br-1,u-2,565000,Chuyển khoản,BL-2025-004-00143,true,05/04/2025 11:56:14
PMT-00144,hv-132,br-1,u-1,1845000,Tiền mặt,BL-2025-003-00144,true,22/03/2025 15:17:38
PMT-00145,hv-133,br-1,u-1,415000,Tiền mặt,BL-2025-004-00145,true,07/04/2025 14:20:37
PMT-00146,hv-134,br-1,u-1,565000,Tiền mặt,BL-2025-003-00146,true,11/03/2025 17:55:26
PMT-00147,hv-135,br-1,u-1,1995000,Chuyển khoản,BL-2025-003-00147,true,10/03/2025 08:28:36
PMT-00148,hv-136,br-1,u-1,365000,Chuyển khoản,BL-2025-004-00148,true,08/04/2025 08:10:13
PMT-00149,hv-137,br-1,u-1,565000,Tiền mặt,BL-2025-003-00149,true,19/03/2025 10:22:32
PMT-00150,hv-138,br-1,u-1,415000,Tiền mặt,BL-2025-003-00150,true,26/03/2025 14:30:33
PMT-00151,hv-139,br-1,u-1,282500,Tiền mặt,BL-2025-003-00151,true,15/03/2025 12:34:49
PMT-00152,hv-140,br-1,u-2,997500,Chuyển khoản,BL-2025-004-00152,true,07/04/2025 08:11:56
PMT-00153,hv-140,br-1,u-2,997500,Tiền mặt,BL-2025-005-00153,true,12/05/2025 08:08:52
PMT-00154,hv-141,br-1,u-2,565000,Chuyển khoản,BL-2025-004-00154,true,03/04/2025 10:34:33
PMT-00155,hv-142,br-1,u-1,1995000,Chuyển khoản,BL-2025-003-00155,true,30/03/2025 14:41:29
PMT-00156,hv-143,br-1,u-2,565000,Tiền mặt,BL-2025-003-00156,true,09/03/2025 08:58:49
PMT-00157,hv-145,br-1,u-2,365000,Tiền mặt,BL-2025-003-00157,true,17/03/2025 10:43:30
PMT-00158,hv-146,br-1,u-2,565000,Tiền mặt,BL-2025-004-00158,true,09/04/2025 12:10:36
PMT-00159,hv-147,br-1,u-1,1995000,Chuyển khoản,BL-2025-003-00159,true,17/03/2025 17:49:52
PMT-00160,hv-148,br-1,u-1,1995000,Chuyển khoản,BL-2025-003-00160,true,19/03/2025 16:58:12
PMT-00161,hv-149,br-1,u-2,565000,Tiền mặt,BL-2025-004-00161,true,05/04/2025 17:21:54
PMT-00162,hv-150,br-1,u-2,1995000,Chuyển khoản,BL-2025-003-00162,true,14/03/2025 11:10:53
PMT-00163,hv-151,br-1,u-2,282500,Tiền mặt,BL-2025-003-00163,true,12/03/2025 16:08:43
PMT-00164,hv-151,br-1,u-2,282500,Chuyển khoản,BL-2025-004-00164,true,12/04/2025 16:06:32
PMT-00165,hv-152,br-1,u-2,1795000,Tiền mặt,BL-2025-003-00165,false,26/03/2025 12:28:48
PMT-00166,hv-153,br-1,u-1,565000,Chuyển khoản,BL-2025-003-00166,true,19/03/2025 10:04:17
PMT-00167,hv-154,br-1,u-1,282500,Chuyển khoản,BL-2025-004-00167,true,20/04/2025 16:17:26
PMT-00168,hv-155,br-1,u-1,1845000,Chuyển khoản,BL-2025-004-00168,false,17/04/2025 08:34:22
PMT-00169,hv-156,br-1,u-2,365000,Chuyển khoản,BL-2025-004-00169,true,19/04/2025 08:17:09
PMT-00170,hv-157,br-1,u-1,1995000,Tiền mặt,BL-2025-003-00170,true,16/03/2025 17:39:33
PMT-00171,hv-158,br-1,u-2,565000,Tiền mặt,BL-2025-004-00171,true,01/04/2025 09:36:24
PMT-00172,hv-159,br-1,u-1,282500,Tiền mặt,BL-2025-004-00172,true,10/04/2025 17:57:48
PMT-00173,hv-159,br-1,u-1,282500,Tiền mặt,BL-2025-005-00173,false,03/05/2025 17:48:57
PMT-00174,hv-160,br-1,u-2,1995000,Tiền mặt,BL-2025-004-00174,true,04/04/2025 15:40:26
PMT-00175,hv-161,br-1,u-1,1995000,Tiền mặt,BL-2025-003-00175,true,15/03/2025 12:55:05
PMT-00176,hv-162,br-1,u-1,565000,Tiền mặt,BL-2025-003-00176,true,27/03/2025 14:57:06
PMT-00177,hv-163,br-1,u-2,1695000,Tiền mặt,BL-2025-003-00177,true,28/03/2025 14:02:05
PMT-00178,hv-164,br-1,u-1,365000,Chuyển khoản,BL-2025-003-00178,true,26/03/2025 13:40:59
PMT-00179,hv-165,br-1,u-1,1995000,Chuyển khoản,BL-2025-003-00179,true,21/03/2025 16:16:07
PMT-00180,hv-166,br-1,u-2,365000,Chuyển khoản,BL-2025-003-00180,true,30/03/2025 10:36:41
PMT-00181,hv-167,br-1,u-2,1995000,Tiền mặt,BL-2025-004-00181,false,13/04/2025 13:15:12
PMT-00182,hv-168,br-1,u-2,1995000,Chuyển khoản,BL-2025-003-00182,true,27/03/2025 12:37:36
PMT-00183,hv-169,br-1,u-2,565000,Chuyển khoản,BL-2025-003-00183,true,30/03/2025 14:06:01
PMT-00184,hv-170,br-1,u-1,1995000,Chuyển khoản,BL-2025-004-00184,true,17/04/2025 15:18:17
PMT-00185,hv-171,br-1,u-1,565000,Tiền mặt,BL-2025-003-00185,true,15/03/2025 16:55:24
PMT-00186,hv-172,br-1,u-2,415000,Tiền mặt,BL-2025-003-00186,true,31/03/2025 17:19:37
PMT-00187,hv-173,br-1,u-1,1995000,Chuyển khoản,BL-2025-003-00187,true,20/03/2025 10:30:28
PMT-00188,hv-174,br-1,u-2,1895000,Chuyển khoản,BL-2025-004-00188,true,04/04/2025 16:34:59
PMT-00189,hv-175,br-1,u-2,365000,Tiền mặt,BL-2025-003-00189,true,20/03/2025 09:18:58
PMT-00190,hv-176,br-1,u-2,1995000,Chuyển khoản,BL-2025-004-00190,true,03/04/2025 17:20:05
PMT-00191,hv-177,br-1,u-2,282500,Tiền mặt,BL-2025-004-00191,true,09/04/2025 12:21:12
PMT-00192,hv-177,br-1,u-2,282500,Tiền mặt,BL-2025-005-00192,true,02/05/2025 12:16:02
PMT-00193,hv-178,br-1,u-2,997500,Chuyển khoản,BL-2025-004-00193,true,01/04/2025 11:49:18
PMT-00194,hv-178,br-1,u-2,997500,Tiền mặt,BL-2025-005-00194,true,03/05/2025 11:40:33
PMT-00195,hv-179,br-1,u-2,1995000,Tiền mặt,BL-2025-003-00195,true,30/03/2025 10:04:10
PMT-00196,hv-180,br-1,u-2,565000,Tiền mặt,BL-2025-005-00196,true,17/05/2025 09:05:07
PMT-00197,hv-181,br-1,u-2,365000,Chuyển khoản,BL-2025-003-00197,true,28/03/2025 15:00:22
PMT-00198,hv-182,br-1,u-2,1995000,Tiền mặt,BL-2025-003-00198,false,29/03/2025 17:09:46
PMT-00199,hv-183,br-1,u-1,1995000,Chuyển khoản,BL-2025-003-00199,true,28/03/2025 12:01:21
PMT-00200,hv-184,br-1,u-1,565000,Tiền mặt,BL-2025-003-00200,true,10/03/2025 15:21:22
PMT-00201,hv-185,br-1,u-1,565000,Tiền mặt,BL-2025-003-00201,false,11/03/2025 15:13:57
PMT-00202,hv-186,br-1,u-1,565000,Tiền mặt,BL-2025-004-00202,true,04/04/2025 14:04:05
PMT-00203,hv-187,br-1,u-1,415000,Tiền mặt,BL-2025-004-00203,false,03/04/2025 08:45:18
PMT-00204,hv-188,br-1,u-1,1695000,Tiền mặt,BL-2025-003-00204,true,15/03/2025 17:20:01
PMT-00205,hv-189,br-1,u-2,565000,Chuyển khoản,BL-2025-003-00205,true,09/03/2025 13:09:46
PMT-00206,hv-190,br-1,u-2,1995000,Chuyển khoản,BL-2025-003-00206,true,20/03/2025 15:27:43
PMT-00207,hv-191,br-1,u-2,565000,Tiền mặt,BL-2025-004-00207,true,06/04/2025 11:42:11
PMT-00208,hv-192,br-2,u-3,282500,Chuyển khoản,BL-2025-003-00208,true,30/03/2025 13:10:35
PMT-00209,hv-192,br-2,u-3,282500,Tiền mặt,BL-2025-004-00209,true,17/04/2025 13:01:56
PMT-00210,hv-193,br-2,u-4,1995000,Chuyển khoản,BL-2025-004-00210,true,07/04/2025 17:54:54
PMT-00211,hv-194,br-2,u-3,565000,Chuyển khoản,BL-2025-005-00211,true,08/05/2025 11:05:11
PMT-00212,hv-195,br-2,u-3,565000,Chuyển khoản,BL-2025-003-00212,true,15/03/2025 15:08:16
PMT-00213,hv-196,br-2,u-4,1995000,Tiền mặt,BL-2025-004-00213,true,17/04/2025 13:41:39
PMT-00214,hv-197,br-2,u-3,1795000,Tiền mặt,BL-2025-003-00214,true,26/03/2025 16:54:51
PMT-00215,hv-198,br-2,u-4,415000,Tiền mặt,BL-2025-004-00215,true,10/04/2025 14:32:56
PMT-00216,hv-199,br-2,u-4,1995000,Chuyển khoản,BL-2025-003-00216,true,24/03/2025 16:25:59
PMT-00217,hv-200,br-2,u-3,1845000,Tiền mặt,BL-2025-004-00217,true,26/04/2025 10:22:24
PMT-00218,hv-201,br-2,u-4,365000,Tiền mặt,BL-2025-005-00218,true,07/05/2025 09:54:11
PMT-00219,hv-202,br-2,u-4,565000,Chuyển khoản,BL-2025-004-00219,true,04/04/2025 17:47:04
PMT-00220,hv-203,br-2,u-4,565000,Chuyển khoản,BL-2025-004-00220,true,12/04/2025 15:35:58
PMT-00221,hv-204,br-2,u-4,415000,Tiền mặt,BL-2025-004-00221,true,11/04/2025 11:23:13
PMT-00222,hv-205,br-2,u-4,565000,Tiền mặt,BL-2025-003-00222,true,29/03/2025 15:42:42
PMT-00223,hv-206,br-2,u-4,1995000,Tiền mặt,BL-2025-004-00223,false,07/04/2025 13:03:38
PMT-00224,hv-207,br-2,u-3,1995000,Tiền mặt,BL-2025-004-00224,true,07/04/2025 15:52:53
PMT-00225,hv-208,br-2,u-4,565000,Tiền mặt,BL-2025-004-00225,true,01/04/2025 12:40:24
PMT-00226,hv-209,br-2,u-4,565000,Tiền mặt,BL-2025-004-00226,true,30/04/2025 11:35:28
PMT-00227,hv-210,br-2,u-4,1995000,Tiền mặt,BL-2025-004-00227,true,06/04/2025 10:50:53
PMT-00228,hv-211,br-2,u-4,997500,Tiền mặt,BL-2025-003-00228,true,27/03/2025 16:48:33
PMT-00229,hv-212,br-2,u-3,565000,Chuyển khoản,BL-2025-003-00229,true,26/03/2025 15:20:02
PMT-00230,hv-213,br-2,u-4,365000,Chuyển khoản,BL-2025-003-00230,true,15/03/2025 16:53:49
PMT-00231,hv-214,br-2,u-4,182500,Chuyển khoản,BL-2025-004-00231,true,10/04/2025 12:14:30
PMT-00232,hv-215,br-2,u-3,1845000,Chuyển khoản,BL-2025-004-00232,false,01/04/2025 12:10:15
PMT-00233,hv-216,br-2,u-4,365000,Tiền mặt,BL-2025-004-00233,true,16/04/2025 12:10:17
PMT-00234,hv-217,br-2,u-3,207500,Tiền mặt,BL-2025-004-00234,true,14/04/2025 09:05:11
PMT-00235,hv-217,br-2,u-3,207500,Tiền mặt,BL-2025-005-00235,true,18/05/2025 08:58:14
PMT-00236,hv-218,br-2,u-3,997500,Tiền mặt,BL-2025-003-00236,true,11/03/2025 13:54:59
PMT-00237,hv-218,br-2,u-3,997500,Tiền mặt,BL-2025-004-00237,true,02/04/2025 13:53:27
PMT-00238,hv-219,br-2,u-3,1995000,Tiền mặt,BL-2025-004-00238,true,10/04/2025 09:07:08
PMT-00239,hv-220,br-2,u-4,415000,Tiền mặt,BL-2025-003-00239,true,18/03/2025 10:49:06
PMT-00240,hv-221,br-2,u-3,282500,Tiền mặt,BL-2025-003-00240,true,23/03/2025 16:37:01
PMT-00241,hv-222,br-2,u-4,415000,Chuyển khoản,BL-2025-003-00241,true,07/03/2025 08:19:07
